City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,arraial do cabo,-22.9661,-42.0278,22.92,100,0,1.54,BR,1674385196
203,jamestown,42.097,-79.2353,-0.25,86,100,2.57,US,1674385196
204,sao paulo de olivenca,-3.3783,-68.8725,20.98,99,52,0.22,BR,1674385196
205,manavadar,21.5,70.1333,24.75,26,10,4.83,IN,1674385196
206,keti bandar,24.1447,67.4497,21.82,27,0,3.71,PK,1674385196
207,qandala,11.472,49.8728,25.61,58,14,6.34,SO,1674385196
208,beringovskiy,63.05,179.3167,-19.36,88,100,5.38,RU,1674385196
209,port elizabeth,-33.918,25.5701,26.29,68,0,6.71,ZA,1674385197
210,codrington,-38.2667,141.9667,15.37,91,22,5.41,AU,1674385197
211,hamilton,39.1834,-84.5333,0.55,83,100,0.45,US,1674385137
212,aiquile,-18.2041,-65.1807,15.81,76,13,1.42,BO,1674385197
213,severo-kurilsk,50.6789,156.125,-8.82,78,100,5.46,RU,1674385197
214,namibe,-15.1961,12.1522,24.66,71,100,3.43,AO,1674385198
215,kirya,-3.9167,37.4833,33.83,28,100,2.23,TZ,1674385198
216,sao filipe,14.8961,-24.4956,21.42,62,20,4.8,CV,1674385198
217,ulaanbaatar,47.9077,106.8832,-31.93,56,0,4.0,MN,1674384934
218,kyshtovka,56.555,76.6271,-9.51,94,100,4.91,RU,1674385198
219,victor harbor,-35.5667,138.6167,17.22,83,12,0.89,AU,1674385198
220,kanniyakumari,8.0833,77.5667,28.59,59,97,8.76,IN,1674385198
221,denpasar,-8.65,115.2167,28.81,79,40,2.57,ID,1674384539
222,cururupu,-1.8283,-44.8683,26.75,78,88,2.54,BR,1674385199
223,carbondale,37.7273,-89.2168,0.55,95,100,0.0,US,1674385199
224,pierre,44.3683,-100.351,-11.75,91,40,0.0,US,1674385199
225,toora-khem,52.4675,96.11,-35.88,100,59,0.39,RU,1674385199
226,kandrian,-6.2167,149.55,25.93,89,100,3.02,PG,1674385199
227,ossora,59.2353,163.0719,-21.47,97,100,8.39,RU,1674385199
228,vanimo,-2.6741,141.3028,25.38,89,95,2.14,PG,1674385200
229,sapa,5.1544,120.3241,26.74,77,100,2.6,PH,1674385132
230,ochakiv,46.6128,31.5498,6.25,67,29,5.12,UA,1674385200
231,hami,42.8,93.45,-8.05,23,1,2.93,CN,1674385200
232,bani,18.2833,-70.3333,22.14,80,2,4.44,DO,1674385202
233,cidreira,-30.1811,-50.2056,23.79,85,100,3.34,BR,1674385233
234,stephenville,32.2207,-98.2023,2.74,71,0,1.34,US,1674385249
235,alizai,33.5383,70.3462,9.48,37,33,2.23,PK,1674385261
236,klaksvik,62.2266,-6.589,7.51,83,99,13.79,FO,1674385083
237,avera,33.194,-82.5271,5.73,95,100,4.85,US,1674385263
238,roald,62.5833,6.1333,6.08,45,0,8.75,NO,1674385265
239,coihaique,-45.5752,-72.0662,9.97,87,0,1.54,CL,1674385050
240,springfield,37.2153,-93.2982,2.21,94,100,0.89,US,1674385142
241,saint anthony,45.0205,-93.218,-6.03,93,100,3.09,US,1674385267
242,lufilufi,-13.8745,-171.5986,24.88,79,62,6.82,WS,1674385273
243,kisangani,0.5167,25.2,32.18,42,100,0.89,CD,1674384980
244,stykkisholmur,65.0757,-22.7297,-3.94,74,100,15.73,IS,1674384783
245,sambava,-14.2667,50.1667,27.62,72,98,3.13,MG,1674385279
246,harer,9.3094,42.1258,24.72,28,22,2.55,ET,1674385280
247,rawson,-43.3002,-65.1023,20.96,54,30,7.63,AR,1674385204
248,port hawkesbury,45.6169,-61.3485,-2.24,78,40,6.17,CA,1674385280
